"matched_id","internal_person_id","internal_event_id","inmate_number","full_name","prefix","first_name","middle_name","last_name","suffix","dob","ssn","ssn_hash","ssn_bigrams","fingerprint_id","dmv_number","dmv_state","additional_id_number","additional_id_name","race","ethnicity","sex","hair_color","eye_color","height","weight","street_address","city","state","postal_code","county","country","birth_place","booking_number","jail_entry_date","jail_exit_date","homeless","mental_health","veteran","special_initiative","bond_amount","arresting_agency","bed","cell","block","building","annex","floor","classification","detention","location_type","relocation_date","case_number","source_name","created_date","updated_date","inserted_ts","updated_ts"
67,9738686,86174485,4057444,,,"Nina",,"Garza",,1982-09-15,"743-69-9568",,,193833,311855,"FL",,,"pacisland","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","Y","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
68,8592654,4066006,4161087,,,"Paul",,"Price",,1982-09-16,"126-49-0475",,,9426,451607,"FL",,,"white","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","Y","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
69,8218308,54581810,3313210,,,"Paul",,"Johnson",,1982-09-17,"091-22-8900",,,999981,80086,"FL",,,"asian","hispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
70,7727382,72738815,9873619,,,"Phillip",,"Delgado",,1982-09-18,"650-33-4352",,,638565,162101,"FL",,,"other","hispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","Y","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
70,8585380,89219254,1457486,,,"Phillip",,"Delgado",,1982-09-19,"650-33-4352",,,206907,463788,"FL",,,"asian","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
71,7025524,93076248,2363594,,,"Ricardo",,"Garrett",,1982-09-20,"820-51-0726",,,127577,682908,"FL",,,"other","hispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
72,696547,21045787,6781909,,,"Roger",,"Lopez",,1982-09-21,"446-01-6454",,,898187,239877,"FL",,,"amindian","hispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","Y","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
73,6393451,39846104,5899665,,,"Scott",,"Schmidt",,1982-09-22,"016-50-0603",,,426603,98168,"FL",,,"white","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","Y","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
74,5932257,50489565,9733834,,,"Sean",,"Reeves",,1982-09-23,"523-58-8963",,,347967,765909,"FL",,,"amindian","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
75,9872278,35444729,4606730,,,"Stephanie",,"Boyd",,1982-09-24,"318-74-1496",,,689655,154733,"FL",,,"black","hispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","Y",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
76,4161644,416445,5256798,,,"Stephanie",,"Oliver",,1982-09-25,"530-18-6561",,,203061,182409,"FL",,,"white","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","Y","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
77,9918468,73378657,1320598,,,"Stephanie",,"Holt",,1982-09-26,"687-08-8903",,,672070,495425,"FL",,,"asian","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","Y","Y","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
77,6273701,41879399,6229399,,,"Stephanie",,"Holt",,1982-09-27,"687-08-8903",,,682014,439765,"FL",,,"black","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","Y","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
78,7040626,6894100,901034,,,"Susan",,"Ward",,1982-09-28,"441-77-1671",,,119235,580258,"FL",,,"other","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
78,5037205,44979349,189930,,,"Susan",,"Ward",,1982-09-29,"441-77-1671",,,128547,866208,"FL",,,"amindian","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
79,8669602,12756831,4928907,,,"Tammy",,"Soto",,1982-09-30,"262-85-7261",,,291035,312553,"FL",,,"pacisland","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
80,563070,90851384,1536011,,,"Terri",,"White",,1982-10-01,"491-09-3051",,,831614,296826,"FL",,,"amindian","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
81,1982648,33833546,710513,,,"Terri",,"Keller",,1982-10-02,"612-15-8841",,,506205,524170,"FL",,,"other","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","Y","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
82,5001985,88218401,2725890,,,"Theresa",,"Cruz",,1982-10-03,"490-66-5290",,,243369,134754,"FL",,,"white","hispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","Y","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
83,5103623,6308629,8674848,,,"Theresa",,"James",,1982-10-04,"444-86-6094",,,587627,296414,"FL",,,"black","hispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","Y","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
82,3300680,43666385,1528381,,,"Theresa",,"Cruz",,1982-10-05,"490-66-5290",,,915732,90217,"FL",,,"amindian","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
84,3151405,13986480,222280,,,"Timothy",,"Ramsey",,1982-10-06,"524-12-9796",,,110585,74371,"FL",,,"pacisland","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","Y","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
85,5729659,82367084,857079,,,"Tina",,"Moore",,1982-10-07,"075-12-5714",,,276668,778294,"FL",,,"black","hispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
86,3556383,68645553,3823422,,,"Todd",,"Henderson",,1982-10-08,"104-51-9593",,,633540,905733,"FL",,,"other","hispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","Y",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
87,7243386,22575376,1538141,,,"Victoria",,"Li",,1982-10-09,"751-73-6901",,,898494,943406,"FL",,,"black","hispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","Y","N","N","Y",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
88,962809,38678225,1843628,,,"Whitney",,"Morton",,1982-10-10,"723-59-6981",,,52582,854616,"FL",,,"white","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
89,9330551,72928750,2824515,,,"William",,"Byrd",,1982-10-11,"595-78-1074",,,520057,109463,"FL",,,"other","nonhispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","Y","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
90,2831778,78764425,5598003,,,"William",,"Simmons",,1982-10-12,"280-93-2901",,,320715,772242,"FL",,,"black","hispanic","F",,,,,,,,,,,,,"2016-12-20 01:02:03","2016-12-20 01:02:03","N","N","N","N",,,,,,,,,,,,,,,"2017-06-01 12:00:00","2017-06-01 12:00:00","2018-01-01 12:00:00","2018-01-01 12:00:00"
